miRNA,M1,M10,M11_2,M12_1,M12_2,M13,M13_2,M14_1,M14_2,M16,M18,M19,M2,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M34,M35_1,M35_2,M38,M39_1,M39_2,M4,M40,M5,M6
Hsa-Mir-34-P3c_3p*.SNPA chr5 segs:1-30 cds:-:55172273-55172302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-34-P3c_3p*.SNPB chr5 segs:1-30 cds:-:55172273-55172302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-34-P3c_3p*.SNPC chr5 segs:1-30 cds:-:55172273-55172302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-34-P3c_5p,6.0,33.0,16.0,12.0,73.0,94.0,5.0,20.0,0.0,2.0,3.0,5.0,6.0,0.0,4.0,0.0,11.0,3.0,3.0,3.0,6.0,0.0,0.0,5.0,3.0,192.0,11.0,41.0,51.0,0.0,11.0,8.0,3.0,0.0,3.0,8.0
Hsa-Mir-34-P3c_5p chr5 segs:1-33 cds:-:55172306-55172338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-34-P3c_5p.SNPA chr5 segs:1-33 cds:-:55172306-55172338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-34-P3c_5p.SNPB chr5 segs:1-33 cds:-:55172306-55172338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-34-P3c_5p.SNPC chr5 segs:1-33 cds:-:55172306-55172338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-340_3p*,17.0,18.0,83.0,63.0,48.0,64.0,63.0,77.0,23.0,11.0,19.0,42.0,21.0,4.0,43.0,30.0,48.0,55.0,42.0,24.0,54.0,19.0,25.0,34.0,54.0,11.0,52.0,46.0,58.0,2.0,51.0,119.0,20.0,21.0,33.0,75.0
Hsa-Mir-340_3p* chr5 segs:1-31 cds:-:180015312-180015342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-340_5p,798.0,861.0,2684.0,3230.0,3454.0,4928.0,3114.0,5065.0,788.0,748.0,1667.0,3097.0,783.0,1049.0,2228.0,1763.0,1794.0,2299.0,1917.0,7182.0,2660.0,1650.0,751.0,1829.0,2142.0,788.0,1536.0,5938.0,2901.0,129.0,4253.0,5166.0,1462.0,1250.0,2289.0,4991.0
Hsa-Mir-340_5p chr5 segs:1-30 cds:-:180015355-180015384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-342_3p,155.0,209.0,1233.0,1712.0,2343.0,2168.0,623.0,2129.0,649.0,270.0,269.0,510.0,356.0,116.0,301.0,334.0,58.0,731.0,331.0,860.0,530.0,443.0,612.0,475.0,1224.0,97.0,599.0,2619.0,2358.0,62.0,1358.0,2257.0,491.0,322.0,300.0,1342.0
Hsa-Mir-342_3p chr14 segs:1-33 cds:+:100109713-100109745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-342_5p*,8.0,9.0,86.0,56.0,72.0,74.0,33.0,70.0,21.0,13.0,21.0,23.0,5.0,0.0,0.0,13.0,8.0,20.0,18.0,36.0,43.0,14.0,15.0,22.0,32.0,12.0,47.0,85.0,87.0,0.0,97.0,60.0,17.0,12.0,32.0,41.0
Hsa-Mir-342_5p* chr14 segs:1-35 cds:+:100109671-100109705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-345_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,13.0,0.0,0.0,0.0,21.0
Hsa-Mir-345_3p* chr14 segs:1-30 cds:+:100307910-100307939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-345_5p,869.0,499.0,1786.0,2114.0,960.0,832.0,1169.0,976.0,440.0,189.0,320.0,572.0,204.0,119.0,1572.0,842.0,1159.0,476.0,856.0,391.0,1951.0,673.0,1044.0,2476.0,1800.0,637.0,1402.0,663.0,1212.0,93.0,3008.0,10092.0,387.0,1151.0,623.0,2762.0
Hsa-Mir-345_5p chr14 segs:1-30 cds:+:100307874-100307903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-346_3p* chr10 segs:1-30 cds:-:86264704-86264733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-346_5p,0.0,0.0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0
Hsa-Mir-346_5p chr10 segs:1-31 cds:-:86264741-86264771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-361-v1_3p* chrX segs:1-32 cds:-:85903633-85903664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-361-v1_5p chrX segs:1-30 cds:-:85903675-85903704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-361-v2_3p chrX segs:1-32 cds:-:85903634-85903665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-361-v2_5p* chrX segs:1-30 cds:-:85903674-85903703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3611_3p,0.0,0.0,9.0,7.0,4.0,9.0,11.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,2.0,5.0,2.0,0.0,4.0,0.0,0.0,0.0,6.0,4.0,0.0,7.0,5.0,5.0,4.0,3.0,10.0
Hsa-Mir-3611_3p chr10 segs:1-30 cds:-:35079602-35079631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3611_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3611_5p* chr10 segs:1-32 cds:-:35079639-35079670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3613_3p*,4.0,9.0,12.0,16.0,19.0,15.0,25.0,13.0,6.0,5.0,8.0,2.0,8.0,2.0,3.0,5.0,14.0,19.0,3.0,5.0,13.0,0.0,4.0,5.0,7.0,3.0,4.0,9.0,16.0,0.0,3.0,7.0,7.0,6.0,12.0,9.0
Hsa-Mir-3613_3p* chr13 segs:1-30 cds:-:49996422-49996451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3613_5p,67.0,74.0,82.0,160.0,145.0,134.0,128.0,125.0,60.0,36.0,83.0,46.0,31.0,17.0,41.0,64.0,123.0,140.0,75.0,89.0,103.0,50.0,16.0,29.0,146.0,26.0,41.0,130.0,120.0,30.0,78.0,96.0,105.0,28.0,53.0,240.0
Hsa-Mir-3613_5p chr13 segs:1-30 cds:-:49996459-49996488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3617_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3617_3p* chr20 segs:1-31 cds:-:45705103-45705133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3617_5p,0.0,0.0,0.0,13.0,9.0,12.0,12.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,2.0,0.0,12.0,0.0,0.0,0.0,15.0,3.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,0.0,4.0
Hsa-Mir-3617_5p chr20 segs:1-30 cds:-:45705144-45705173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3617_5p.SNPA chr20 segs:1-30 cds:-:45705144-45705173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3617_5p.SNPB chr20 segs:1-30 cds:-:45705144-45705173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3617_5p.SNPC chr20 segs:1-30 cds:-:45705144-45705173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3619_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3619_3p* chr22 segs:1-31 cds:+:46091088-46091118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3619_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Hsa-Mir-3619_5p chr22 segs:1-30 cds:+:46091057-46091086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-361_3p*,174.0,350.0,1535.0,1039.0,1113.0,771.0,974.0,1041.0,247.0,167.0,338.0,396.0,90.0,126.0,224.0,437.0,229.0,1192.0,221.0,833.0,483.0,272.0,165.0,210.0,783.0,157.0,963.0,1119.0,1228.0,111.0,1965.0,933.0,221.0,485.0,905.0,821.0
Hsa-Mir-361_5p*,724.0,1254.0,634.0,1278.0,1325.0,1539.0,1852.0,914.0,1467.0,685.0,540.0,846.0,601.0,521.0,1188.0,1167.0,595.0,1859.0,654.0,586.0,1326.0,575.0,976.0,964.0,1176.0,338.0,775.0,788.0,686.0,374.0,564.0,1391.0,1150.0,402.0,917.0,1000.0
Hsa-Mir-362-P1_3p*,16.0,10.0,23.0,26.0,24.0,23.0,33.0,36.0,29.0,7.0,9.0,15.0,6.0,0.0,43.0,9.0,6.0,26.0,10.0,26.0,31.0,5.0,4.0,30.0,21.0,19.0,23.0,23.0,27.0,3.0,17.0,12.0,17.0,17.0,14.0,26.0
Hsa-Mir-362-P1_3p* chrX segs:1-30 cds:+:50009003-50009032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-362-P1_5p,94.0,238.0,48.0,118.0,106.0,155.0,117.0,144.0,751.0,63.0,87.0,170.0,142.0,30.0,207.0,78.0,73.0,128.0,81.0,99.0,99.0,66.0,142.0,78.0,273.0,45.0,88.0,100.0,71.0,89.0,120.0,155.0,188.0,69.0,64.0,272.0
Hsa-Mir-362-P1_5p chrX segs:1-34 cds:+:50008966-50008999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-362-P2-v1_3p chrX segs:1-31 cds:+:50008480-50008510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-362-P2-v1_5p* chrX segs:1-33 cds:+:50008441-50008473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-362-P2-v2_3p chrX segs:1-32 cds:+:50008479-50008510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-362-P2-v2_5p* chrX segs:1-33 cds:+:50008441-50008473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-362-P2_3p/P4_3p,622.0,1519.0,2513.0,1016.0,2259.0,1379.0,1773.0,1854.0,3432.0,639.0,1286.0,1956.0,822.0,238.0,3943.0,787.0,1062.0,1021.0,1676.0,543.0,2088.0,728.0,2583.0,1956.0,3996.0,580.0,1183.0,1709.0,1405.0,852.0,1324.0,2249.0,1265.0,1380.0,828.0,2476.0
Hsa-Mir-362-P2_5p*/P5_5p,30.0,26.0,21.0,29.0,49.0,29.0,29.0,34.0,39.0,7.0,17.0,43.0,12.0,0.0,65.0,13.0,17.0,27.0,17.0,10.0,28.0,11.0,26.0,58.0,53.0,13.0,27.0,29.0,35.0,15.0,18.0,30.0,21.0,23.0,19.0,73.0
Hsa-Mir-362-P3_3p,147.0,252.0,949.0,234.0,656.0,764.0,638.0,573.0,2011.0,267.0,482.0,596.0,282.0,72.0,1059.0,203.0,243.0,410.0,529.0,142.0,908.0,366.0,2988.0,867.0,1516.0,507.0,263.0,954.0,763.0,755.0,581.0,1511.0,476.0,384.0,252.0,437.0
Hsa-Mir-362-P3_3p chrX segs:1-31 cds:+:50009770-50009800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-362-P3_3p.SNPA chrX segs:1-31 cds:+:50009770-50009800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-362-P3_3p.SNPB chrX segs:1-31 cds:+:50009770-50009800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-362-P3_3p.SNPC chrX segs:1-31 cds:+:50009770-50009800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-362-P3_3p.SNPD chrX segs:1-31 cds:+:50009770-50009800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-362-P3_5p*,16.0,20.0,11.0,13.0,37.0,29.0,51.0,16.0,17.0,26.0,21.0,23.0,5.0,11.0,49.0,9.0,16.0,13.0,27.0,13.0,31.0,13.0,16.0,37.0,27.0,10.0,6.0,31.0,12.0,3.0,26.0,30.0,17.0,29.0,10.0,41.0
Hsa-Mir-362-P3_5p* chrX segs:1-32 cds:+:50009733-50009764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-362-P4_3p chrX segs:1-31 cds:+:50014647-50014677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-362-P4_5p*,35.0,14.0,15.0,24.0,27.0,35.0,34.0,13.0,29.0,13.0,14.0,22.0,8.0,9.0,39.0,10.0,17.0,19.0,14.0,11.0,24.0,9.0,6.0,23.0,33.0,8.0,14.0,26.0,14.0,7.0,13.0,17.0,22.0,10.0,8.0,50.0
Hsa-Mir-362-P4_5p* chrX segs:1-34 cds:+:50014610-50014643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-362-P5_3p*,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,5.0,2.0,6.0,5.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0
Hsa-Mir-362-P5_3p* chrX segs:1-32 cds:+:50010717-50010748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-362-P5_5p chrX segs:1-33 cds:+:50010679-50010711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3622_3p*,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3622_3p* chr8 segs:1-30 cds:+:27701725-27701754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3622_5p,0.0,0.0,0.0,0.0,15.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3622_5p chr8 segs:1-30 cds:+:27701688-27701717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3622_5p.SNPA chr8 segs:1-30 cds:+:27701688-27701717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-3622_5p.SNPC chr8 segs:1-30 cds:+:27701688-27701717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
